Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Kluyveromyces_lactis,Mock2,Qmin15,mycoAIBert,simNCBI,0.001988072,0.001144165,0.007575758
Kluyveromyces_marxianus,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
Kodamaea_ohmeri,Mock2,Qmin15,mycoAIBert,simNCBI,0.147548786,0.331905782,0.094859241
Leptosphaeria_maculans,Mock2,Qmin15,mycoAIBert,simNCBI,0.027567195,0.020439448,0.042328042
Penicillium_chrysogenum,Mock2,Qmin15,mycoAIBert,simNCBI,0.196740396,0.212712398,0.182999459
Pichia_kudriavzevii,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
Pichia_membranifaciens,Mock2,Qmin15,mycoAIBert,simNCBI,0.011862396,0.005982292,0.694444444
Quambalaria_cyanescens,Mock2,Qmin15,mycoAIBert,simNCBI,0.496318753,0.364968153,0.775372124
Rhodotorula_mucilaginosa,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
Scedosporium_aurantiacum,Mock2,Qmin15,mycoAIBert,simNCBI,0.020058234,0.028440367,0.015492254
Trichomonascus_ciferrii,Mock2,Qmin15,mycoAIBert,simNCBI,0.004726736,0.006120888,0.003849856
Trichosporon_asahii,Mock2,Qmin15,mycoAIBert,simNCBI,0.30851735,0.183420855,0.970238095
Tuber_brumale,Mock2,Qmin15,mycoAIBert,simNCBI,0.017558528,0.010238908,0.061583578
Wickerhamomyces_anomalus,Mock2,Qmin15,mycoAIBert,simNCBI,0.002410607,0.00173913,0.003926702
Yamadazyma_mexicana,Mock2,Qmin15,mycoAIBert,simNCBI,0.111560757,0.487571702,0.062986291
Yamadazyma_scolyti,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
Yarrowia_lipolytica,Mock2,Qmin15,mycoAIBert,simNCBI,0.013644524,0.010740531,0.018700787
Zymoseptoria_tritici,Mock2,Qmin15,mycoAIBert,simNCBI,0.002572347,0.001834862,0.004301075
Aspergillus_flavus,Mock2,Qmin15,mycoAICNN,simNCBI,0.548795944,0.397247706,0.887295082
Aspergillus_fumigatus,Mock2,Qmin15,mycoAICNN,simNCBI,0.017604286,0.008914729,0.696969697
Blastobotrys_adeninivorans,Mock2,Qmin15,mycoAICNN,simNCBI,0.069321534,0.036126057,0.854545455
Blastobotrys_proliferans,Mock2,Qmin15,mycoAICNN,simNCBI,0.359416446,0.497247706,0.281412253
Candida_boleticola,Mock2,Qmin15,mycoAICNN,simNCBI,0.277643261,0.473394495,0.196421774
Candida_caryicola,Mock2,Qmin15,mycoAICNN,simNCBI,0.26188579,0.452293578,0.184299065
Candida_catenulata,Mock2,Qmin15,mycoAICNN,simNCBI,0.418134133,0.491629956,0.363754889
Candida_dubliniensis,Mock2,Qmin15,mycoAICNN,simNCBI,0,0,0
Candida_glabrata,Mock2,Qmin15,mycoAICNN,simNCBI,0.46344207,0.301942103,0.99637243
Candida_metapsilosis,Mock2,Qmin15,mycoAICNN,simNCBI,0.002004008,0.001008573,0.153846154
Candida_parapsilosis,Mock2,Qmin15,mycoAICNN,simNCBI,0.52814598,0.482086738,0.583936049
Candida_tropicalis,Mock2,Qmin15,mycoAICNN,simNCBI,0.34876211,0.213064445,0.960474308
Candida_zeylanoides,Mock2,Qmin15,mycoAICNN,simNCBI,0.025,0.012717537,0.730769231
Cryptococcus_gattii_VGI,Mock2,Qmin15,mycoAICNN,simNCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,mycoAICNN,simNCBI,0.100185529,0.059756547,0.309751434
Diplodia_seriata,Mock2,Qmin15,mycoAICNN,simNCBI,0.613239188,0.461599787,0.913249211
Fusarium_pseudograminearum,Mock2,Qmin15,mycoAICNN,simNCBI,0.090436908,0.062765055,0.161748634
Kluyveromyces_lactis,Mock2,Qmin15,mycoAICNN,simNCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin15,mycoAICNN,simNCBI,0.002628121,0.001348618,0.051282051
Kodamaea_ohmeri,Mock2,Qmin15,mycoAICNN,simNCBI,0.629377432,0.461812991,0.98778626
Leptosphaeria_maculans,Mock2,Qmin15,mycoAICNN,simNCBI,0.270109546,0.440981094,0.194676291
Penicillium_chrysogenum,Mock2,Qmin15,mycoAICNN,simNCBI,0.524649154,0.458779106,0.612605042
Pichia_kudriavzevii,Mock2,Qmin15,mycoAICNN,simNCBI,0.110899428,0.50733945,0.062253743
Pichia_membranifaciens,Mock2,Qmin15,mycoAICNN,simNCBI,0.481985349,0.385738215,0.642231076
Quambalaria_cyanescens,Mock2,Qmin15,mycoAICNN,simNCBI,0.003742982,0.001910828,0.090909091
Rhodotorula_mucilaginosa,Mock2,Qmin15,mycoAICNN,simNCBI,0.436647727,0.490740741,0.393295803
Scedosporium_aurantiacum,Mock2,Qmin15,mycoAICNN,simNCBI,0.074927954,0.059633028,0.100775194
Trichomonascus_ciferrii,Mock2,Qmin15,mycoAICNN,simNCBI,0.368916155,0.345065034,0.396309315
Trichosporon_asahii,Mock2,Qmin15,mycoAICNN,simNCBI,0.607640681,0.441485371,0.974337748
Tuber_brumale,Mock2,Qmin15,mycoAICNN,simNCBI,0.437286203,0.37396392,0.526424159
Wickerhamomyces_anomalus,Mock2,Qmin15,mycoAICNN,simNCBI,0.194157663,0.703188406,0.112627669
Yamadazyma_mexicana,Mock2,Qmin15,mycoAICNN,simNCBI,0.601592451,0.487571702,0.7852194
Yamadazyma_scolyti,Mock2,Qmin15,mycoAICNN,simNCBI,0.65245043,0.488515406,0.981981982
Yarrowia_lipolytica,Mock2,Qmin15,mycoAICNN,simNCBI,0.203361937,0.488976823,0.128376373
Zymoseptoria_tritici,Mock2,Qmin15,mycoAICNN,simNCBI,0.200264002,0.487155963,0.126038452
Aspergillus_flavus,Mock2,Qmin17,vtd,simNCBI,0.475206612,0.316513761,0.953038674
Aspergillus_fumigatus,Mock2,Qmin17,vtd,simNCBI,0.019891501,0.012790698,0.044715447
Blastobotrys_adeninivorans,Mock2,Qmin17,vtd,simNCBI,0.60910031,0.45272867,0.930489731
Blastobotrys_proliferans,Mock2,Qmin17,vtd,simNCBI,0.625603865,0.475229358,0.915194346
Candida_boleticola,Mock2,Qmin17,vtd,simNCBI,0.237357631,0.477981651,0.157878788
Candida_caryicola,Mock2,Qmin17,vtd,simNCBI,0.189970501,0.443119266,0.120901126
Candida_catenulata,Mock2,Qmin17,vtd,simNCBI,0.617830778,0.479295154,0.869009585
Candida_dubliniensis,Mock2,Qmin17,vtd,simNCBI,0.127935223,0.072477064,0.544827586
Candida_glabrata,Mock2,Qmin17,vtd,simNCBI,0.350782998,0.43092708,0.295774648
Candida_metapsilosis,Mock2,Qmin17,vtd,simNCBI,0.032038835,0.016641452,0.428571429
