Aspergillus_flavus,319,432
Aspergillus_fumigatus,209,209
Asteroma_sp_CCL060,395,396
Austropuccinia_psidii,389,391
Blastobotrys_adeninivorans,396,398
Blastobotrys_proliferans,397,400
Botrytis_cinerea,0,0
Botrytis_fabae,386,386
Candida_boleticola,394,401
Candida_caryicola,395,397
Candida_catenulata,400,430
Candida_dubliniensis,386,389
Candida_glabrata,298,303
Candida_metapsilosis,393,401
Candida_parapsilosis,388,392
Candida_tropicalis,393,393
Candida_zeylanoides,392,397
Cortinarius_globuliformis_CM4,305,307
Cryptococcus_gattii_VG_I,366,367
Cryptococcus_neoformans_VN_IIII,386,388
Cryptovalsa_ampelina,395,397
Diaporthe_sp_CCL067,399,402
Diplodia_seriata,398,399
Entoleuca_sp_CCL052,395,395
Erysiphe_necator,381,408
Eutypa_lata,396,396
Fusarium_proliferatum,391,400
Fusarium_pseudograminearum,388,390
Geotrichum_candidum,400,406
Kluyveromyces_lactis,390,391
Kluyveromyces_marxianus,398,406
Kodamaea_ohmeri,390,394
Leptosphaeria_maculans,397,398
Penicillium_chrysogenum,385,410
Pichia_kudriavzevii,387,409
Pichia_membranifaciens,305,305
Puccinia_graminis,385,385
Puccinia_striiformis_var_tritici,384,387
Puccinia_triticina,381,381
Pyrenophora_tritici-repentis,346,355
Quambalaria_cyanescens_CCL055,390,397
Rhodotorula_mucilaginosa,399,400
Scedosporium_aurantiacum,390,390
Scedosporium_boydii,382,384
Sclerotinia_sclerotiorum,385,386
Sporisorium_scitamineum,359,381
Trichomonascus_ciferrii,383,385
Trichosporon_asahii,395,407
Tuber_brumale,394,397
Wickerhamomyces_anomalus,395,396
Yamadazyma_mexicana,396,402
Yamadazyma_scolyti,400,402
Yarrowia_lipolytica,396,436
Zymoseptoria_tritici,397,402
