Aspergillus_flavus,308,414
Aspergillus_fumigatus,227,227
Asteroma_sp_CCL060,393,395
Austropuccinia_psidii,396,403
Blastobotrys_adeninivorans,396,396
Blastobotrys_proliferans,397,402
Botrytis_cinerea,0,0
Botrytis_fabae,375,375
Candida_boleticola,396,402
Candida_caryicola,393,396
Candida_catenulata,396,424
Candida_dubliniensis,389,391
Candida_glabrata,311,315
Candida_metapsilosis,393,403
Candida_parapsilosis,390,391
Candida_tropicalis,396,397
Candida_zeylanoides,396,401
Cortinarius_globuliformis_CM4,308,309
Cryptococcus_gattii_VG_I,359,359
Cryptococcus_neoformans_VN_IIII,385,387
Cryptovalsa_ampelina,394,396
Diaporthe_sp_CCL067,398,401
Diplodia_seriata,397,397
Entoleuca_sp_CCL052,391,391
Erysiphe_necator,380,399
Eutypa_lata,392,394
Fusarium_proliferatum,386,397
Fusarium_pseudograminearum,386,388
Geotrichum_candidum,399,409
Kluyveromyces_lactis,394,395
Kluyveromyces_marxianus,399,412
Kodamaea_ohmeri,387,393
Leptosphaeria_maculans,394,395
Penicillium_chrysogenum,380,391
Pichia_kudriavzevii,392,411
Pichia_membranifaciens,315,315
Puccinia_graminis,391,392
Puccinia_striiformis_var_tritici,384,385
Puccinia_triticina,388,389
Pyrenophora_tritici-repentis,330,338
Quambalaria_cyanescens_CCL055,394,397
Rhodotorula_mucilaginosa,400,408
Scedosporium_aurantiacum,382,382
Scedosporium_boydii,389,393
Sclerotinia_sclerotiorum,395,396
Sporisorium_scitamineum,365,389
Trichomonascus_ciferrii,386,386
Trichosporon_asahii,398,408
Tuber_brumale,395,396
Wickerhamomyces_anomalus,391,394
Yamadazyma_mexicana,397,400
Yamadazyma_scolyti,398,401
Yarrowia_lipolytica,399,433
Zymoseptoria_tritici,394,400
