Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Kodamaea_ohmeri,Mock1,Qmin15,simNCBI,mycoAIBert,0.18388651,0.3435,0.125548246
Leptosphaeria_maculans,Mock1,Qmin15,simNCBI,mycoAIBert,0.031552528,0.022,0.055766793
Penicillium_chrysogenum,Mock1,Qmin15,simNCBI,mycoAIBert,0.195200738,0.2115,0.181233933
Pichia_kudriavzevii,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Pichia_membranifaciens,Mock1,Qmin15,simNCBI,mycoAIBert,0.007893439,0.004,0.296296296
Quambalaria_cyanescens,Mock1,Qmin15,simNCBI,mycoAIBert,0.520652551,0.375,0.851305335
Rhodotorula_mucilaginosa,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Scedosporium_aurantiacum,Mock1,Qmin15,simNCBI,mycoAIBert,0.029751218,0.029,0.030542391
Trichomonascus_ciferrii,Mock1,Qmin15,simNCBI,mycoAIBert,0.008752735,0.008,0.009661836
Trichosporon_asahii,Mock1,Qmin15,simNCBI,mycoAIBert,0.301392993,0.1785,0.967479675
Tuber_brumale,Mock1,Qmin15,simNCBI,mycoAIBert,0.021276596,0.0125,0.071428571
Wickerhamomyces_anomalus,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Yamadazyma_mexicana,Mock1,Qmin15,simNCBI,mycoAIBert,0.103221006,0.4855,0.057749494
Yamadazyma_scolyti,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Yarrowia_lipolytica,Mock1,Qmin15,simNCBI,mycoAIBert,0.011680727,0.009,0.01663586
Zymoseptoria_tritici,Mock1,Qmin15,simNCBI,mycoAIBert,0.009401709,0.0055,0.032352941
Aspergillus_flavus,Mock1,Qmin15,simNCBI,mycoAICNN,0.551209104,0.3875,0.954433498
Aspergillus_fumigatus,Mock1,Qmin15,simNCBI,mycoAICNN,0.015740285,0.008,0.484848485
Blastobotrys_adeninivorans,Mock1,Qmin15,simNCBI,mycoAICNN,0.052350945,0.027,0.857142857
Blastobotrys_proliferans,Mock1,Qmin15,simNCBI,mycoAICNN,0.404680851,0.4755,0.352222222
Candida_boleticola,Mock1,Qmin15,simNCBI,mycoAICNN,0.370138249,0.502,0.293138686
Candida_caryicola,Mock1,Qmin15,simNCBI,mycoAICNN,0.334482133,0.461,0.262453743
Candida_catenulata,Mock1,Qmin15,simNCBI,mycoAICNN,0.460963067,0.493,0.432835821
Candida_dubliniensis,Mock1,Qmin15,simNCBI,mycoAICNN,0.002991027,0.0015,0.5
Candida_glabrata,Mock1,Qmin15,simNCBI,mycoAICNN,0.456747405,0.297,0.988352745
Candida_metapsilosis,Mock1,Qmin15,simNCBI,mycoAICNN,0.007956241,0.004,0.727272727
Candida_parapsilosis,Mock1,Qmin15,simNCBI,mycoAICNN,0.455608058,0.458,0.45324097
Candida_tropicalis,Mock1,Qmin15,simNCBI,mycoAICNN,0.344827586,0.21,0.963302752
Candida_zeylanoides,Mock1,Qmin15,simNCBI,mycoAICNN,0.026431718,0.0135,0.627906977
Cryptococcus_gattii_VGI,Mock1,Qmin15,simNCBI,mycoAICNN,0,0,0
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,simNCBI,mycoAICNN,0.107799102,0.066,0.293986637
Diplodia_seriata,Mock1,Qmin15,simNCBI,mycoAICNN,0.622533418,0.489,0.856392294
Fusarium_pseudograminearum,Mock1,Qmin15,simNCBI,mycoAICNN,0.088983051,0.063,0.151442308
Kluyveromyces_lactis,Mock1,Qmin15,simNCBI,mycoAICNN,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin15,simNCBI,mycoAICNN,0.016715831,0.0085,0.5
Kodamaea_ohmeri,Mock1,Qmin15,simNCBI,mycoAICNN,0.642033898,0.4735,0.996842105
Leptosphaeria_maculans,Mock1,Qmin15,simNCBI,mycoAICNN,0.271586931,0.4655,0.191721582
Penicillium_chrysogenum,Mock1,Qmin15,simNCBI,mycoAICNN,0.522427441,0.495,0.553072626
Pichia_kudriavzevii,Mock1,Qmin15,simNCBI,mycoAICNN,0.182659169,0.5035,0.111566585
Pichia_membranifaciens,Mock1,Qmin15,simNCBI,mycoAICNN,0.372218146,0.3805,0.364289134
Quambalaria_cyanescens,Mock1,Qmin15,simNCBI,mycoAICNN,0.007881773,0.004,0.266666667
Rhodotorula_mucilaginosa,Mock1,Qmin15,simNCBI,mycoAICNN,0.412047689,0.4925,0.354189141
Scedosporium_aurantiacum,Mock1,Qmin15,simNCBI,mycoAICNN,0.09631068,0.062,0.215652174
Trichomonascus_ciferrii,Mock1,Qmin15,simNCBI,mycoAICNN,0.397790055,0.342,0.47533009
Trichosporon_asahii,Mock1,Qmin15,simNCBI,mycoAICNN,0.607734807,0.44,0.982142857
Tuber_brumale,Mock1,Qmin15,simNCBI,mycoAICNN,0.432337434,0.369,0.521923621
Wickerhamomyces_anomalus,Mock1,Qmin15,simNCBI,mycoAICNN,0.206037029,0.715,0.120360239
Yamadazyma_mexicana,Mock1,Qmin15,simNCBI,mycoAICNN,0.578616352,0.483,0.721433906
Yamadazyma_scolyti,Mock1,Qmin15,simNCBI,mycoAICNN,0.633931595,0.468,0.982161595
Yarrowia_lipolytica,Mock1,Qmin15,simNCBI,mycoAICNN,0.224047456,0.491,0.145137452
Zymoseptoria_tritici,Mock1,Qmin15,simNCBI,mycoAICNN,0.335058661,0.4855,0.255795574
Aspergillus_flavus,Mock1,Qmin17,simNCBI,vtd,0.471255673,0.3115,0.967391304
Aspergillus_fumigatus,Mock1,Qmin17,simNCBI,vtd,0.024054983,0.0175,0.038461538
Blastobotrys_adeninivorans,Mock1,Qmin17,simNCBI,vtd,0.626522327,0.463,0.968619247
Blastobotrys_proliferans,Mock1,Qmin17,simNCBI,vtd,0.633243607,0.4705,0.968106996
Candida_boleticola,Mock1,Qmin17,simNCBI,vtd,0.321780496,0.4735,0.243695317
Candida_caryicola,Mock1,Qmin17,simNCBI,vtd,0.265423636,0.484,0.182848508
Candida_catenulata,Mock1,Qmin17,simNCBI,vtd,0.639175258,0.496,0.898550725
Candida_dubliniensis,Mock1,Qmin17,simNCBI,vtd,0.161993769,0.091,0.736842105
Candida_glabrata,Mock1,Qmin17,simNCBI,vtd,0.266224966,0.442,0.19047619
Candida_metapsilosis,Mock1,Qmin17,simNCBI,vtd,0.02526725,0.013,0.448275862
Candida_parapsilosis,Mock1,Qmin17,simNCBI,vtd,0.373813291,0.4725,0.309227749
Candida_tropicalis,Mock1,Qmin17,simNCBI,vtd,0.256344818,0.452,0.178903622
Candida_zeylanoides,Mock1,Qmin17,simNCBI,vtd,0.562465603,0.511,0.625458996
Cryptococcus_gattii_VGI,Mock1,Qmin17,simNCBI,vtd,0.244655582,0.1545,0.587452471
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,simNCBI,vtd,0.308207705,0.23,0.467005076
Diplodia_seriata,Mock1,Qmin17,simNCBI,vtd,0.405996252,0.4875,0.347841598
Fusarium_pseudograminearum,Mock1,Qmin17,simNCBI,vtd,0.484162896,0.321,0.984662577
Kluyveromyces_lactis,Mock1,Qmin17,simNCBI,vtd,0.033494604,0.045,0.02667457
Kluyveromyces_marxianus,Mock1,Qmin17,simNCBI,vtd,0.005961252,0.003,0.461538462
Kodamaea_ohmeri,Mock1,Qmin17,simNCBI,vtd,0.605882353,0.4635,0.874528302
Leptosphaeria_maculans,Mock1,Qmin17,simNCBI,vtd,0.446360639,0.44,0.452907874
Penicillium_chrysogenum,Mock1,Qmin17,simNCBI,vtd,0.552426603,0.461,0.689088191
Pichia_kudriavzevii,Mock1,Qmin17,simNCBI,vtd,0.644430459,0.512,0.869269949
Pichia_membranifaciens,Mock1,Qmin17,simNCBI,vtd,0.398381035,0.3445,0.472241261
Quambalaria_cyanescens,Mock1,Qmin17,simNCBI,vtd,0.635080645,0.4725,0.968237705
Rhodotorula_mucilaginosa,Mock1,Qmin17,simNCBI,vtd,0.4398641,0.4855,0.402070393
Scedosporium_aurantiacum,Mock1,Qmin17,simNCBI,vtd,0.612870957,0.4595,0.91991992
Trichomonascus_ciferrii,Mock1,Qmin17,simNCBI,vtd,0.597693114,0.4275,0.993031359
Trichosporon_asahii,Mock1,Qmin17,simNCBI,vtd,0.383556012,0.4665,0.32565445
Tuber_brumale,Mock1,Qmin17,simNCBI,vtd,0.503551136,0.3545,0.868872549
Wickerhamomyces_anomalus,Mock1,Qmin17,simNCBI,vtd,0.610263523,0.44,0.995475113
Yamadazyma_mexicana,Mock1,Qmin17,simNCBI,vtd,0.293593795,0.511,0.205965337
Yamadazyma_scolyti,Mock1,Qmin17,simNCBI,vtd,0.561134752,0.4945,0.64852459
Yarrowia_lipolytica,Mock1,Qmin17,simNCBI,vtd,0.563453237,0.4895,0.663728814
Zymoseptoria_tritici,Mock1,Qmin17,simNCBI,vtd,0.188003066,0.4905,0.11628734
Aspergillus_flavus,Mock1,Qmin17,simNCBI,mycoAIBert,0.354153252,0.275,0.497287523
Aspergillus_fumigatus,Mock1,Qmin17,simNCBI,mycoAIBert,0.046939423,0.037,0.064180399
Blastobotrys_adeninivorans,Mock1,Qmin17,simNCBI,mycoAIBert,0.001256676,0.001,0.001690617
Blastobotrys_proliferans,Mock1,Qmin17,simNCBI,mycoAIBert,0.343246148,0.479,0.267448353
Candida_boleticola,Mock1,Qmin17,simNCBI,mycoAIBert,0.123295791,0.104,0.151382824
Candida_caryicola,Mock1,Qmin17,simNCBI,mycoAIBert,0.126169732,0.1955,0.09313959
Candida_catenulata,Mock1,Qmin17,simNCBI,mycoAIBert,0.004097477,0.0095,0.002612043
Candida_dubliniensis,Mock1,Qmin17,simNCBI,mycoAIBert,0.006972112,0.0035,0.875
Candida_glabrata,Mock1,Qmin17,simNCBI,mycoAIBert,0.112078216,0.235,0.073586974
Candida_metapsilosis,Mock1,Qmin17,simNCBI,mycoAIBert,0.00099108,0.0005,0.055555556
Candida_parapsilosis,Mock1,Qmin17,simNCBI,mycoAIBert,0.008736559,0.0065,0.013319672
Candida_tropicalis,Mock1,Qmin17,simNCBI,mycoAIBert,0.56286201,0.413,0.88342246
Candida_zeylanoides,Mock1,Qmin17,simNCBI,mycoAIBert,0.307006761,0.4995,0.221606034
Cryptococcus_gattii_VGI,Mock1,Qmin17,simNCBI,mycoAIBert,0.007748935,0.005,0.017211704
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,simNCBI,mycoAIBert,0,0,0
Diplodia_seriata,Mock1,Qmin17,simNCBI,mycoAIBert,0.412306074,0.392,0.434830837
Fusarium_pseudograminearum,Mock1,Qmin17,simNCBI,mycoAIBert,0.033868093,0.0285,0.041727672
Kluyveromyces_lactis,Mock1,Qmin17,simNCBI,mycoAIBert,0.004237288,0.0025,0.013888889
Kluyveromyces_marxianus,Mock1,Qmin17,simNCBI,mycoAIBert,0.000928936,0.0005,0.006535948
Kodamaea_ohmeri,Mock1,Qmin17,simNCBI,mycoAIBert,0.176977083,0.334,0.120382051
Leptosphaeria_maculans,Mock1,Qmin17,simNCBI,mycoAIBert,0.02383532,0.0165,0.042912874
Penicillium_chrysogenum,Mock1,Qmin17,simNCBI,mycoAIBert,0.192919933,0.203,0.183793572
Pichia_kudriavzevii,Mock1,Qmin17,simNCBI,mycoAIBert,0,0,0
Pichia_membranifaciens,Mock1,Qmin17,simNCBI,mycoAIBert,0.010826772,0.0055,0.34375
Quambalaria_cyanescens,Mock1,Qmin17,simNCBI,mycoAIBert,0.524749048,0.379,0.85264342
Rhodotorula_mucilaginosa,Mock1,Qmin17,simNCBI,mycoAIBert,0,0,0
Scedosporium_aurantiacum,Mock1,Qmin17,simNCBI,mycoAIBert,0.032388664,0.032,0.032786885
Trichomonascus_ciferrii,Mock1,Qmin17,simNCBI,mycoAIBert,0.002850627,0.0025,0.00331565
Trichosporon_asahii,Mock1,Qmin17,simNCBI,mycoAIBert,0.337329475,0.204,0.973747017
Tuber_brumale,Mock1,Qmin17,simNCBI,mycoAIBert,0.028475712,0.017,0.087628866
Wickerhamomyces_anomalus,Mock1,Qmin17,simNCBI,mycoAIBert,0.002379064,0.0015,0.005747126
Yamadazyma_mexicana,Mock1,Qmin17,simNCBI,mycoAIBert,0.105966487,0.5075,0.059159527
Yamadazyma_scolyti,Mock1,Qmin17,simNCBI,mycoAIBert,0,0,0
Yarrowia_lipolytica,Mock1,Qmin17,simNCBI,mycoAIBert,0.009937065,0.0075,0.014720314
Zymoseptoria_tritici,Mock1,Qmin17,simNCBI,mycoAIBert,0.008385744,0.005,0.025974026
Aspergillus_flavus,Mock1,Qmin17,simNCBI,mycoAICNN,0.53591954,0.373,0.951530612
Aspergillus_fumigatus,Mock1,Qmin17,simNCBI,mycoAICNN,0.025477707,0.013,0.634146341
Blastobotrys_adeninivorans,Mock1,Qmin17,simNCBI,mycoAICNN,0.05528613,0.0285,0.919354839
Blastobotrys_proliferans,Mock1,Qmin17,simNCBI,mycoAICNN,0.409982935,0.4805,0.357514881
Candida_boleticola,Mock1,Qmin17,simNCBI,mycoAICNN,0.356040647,0.473,0.285455643
Candida_caryicola,Mock1,Qmin17,simNCBI,mycoAICNN,0.335641982,0.4725,0.260258882
Candida_catenulata,Mock1,Qmin17,simNCBI,mycoAICNN,0.471926084,0.498,0.448446646
Candida_dubliniensis,Mock1,Qmin17,simNCBI,mycoAICNN,0.002988048,0.0015,0.375
Candida_glabrata,Mock1,Qmin17,simNCBI,mycoAICNN,0.481425322,0.3175,0.995297806
Candida_metapsilosis,Mock1,Qmin17,simNCBI,mycoAICNN,0.010874938,0.0055,0.47826087
Candida_parapsilosis,Mock1,Qmin17,simNCBI,mycoAICNN,0.463450292,0.4755,0.451996198
Candida_tropicalis,Mock1,Qmin17,simNCBI,mycoAICNN,0.370967742,0.23,0.958333333
Candida_zeylanoides,Mock1,Qmin17,simNCBI,mycoAICNN,0.022526934,0.0115,0.547619048
Cryptococcus_gattii_VGI,Mock1,Qmin17,simNCBI,mycoAICNN,0,0,0
Cryptococcus_neoformans_VNIII,Mock1,Qmin17,simNCBI,mycoAICNN,0.090376569,0.054,0.276923077
Diplodia_seriata,Mock1,Qmin17,simNCBI,mycoAICNN,0.625442834,0.4855,0.878733032
Fusarium_pseudograminearum,Mock1,Qmin17,simNCBI,mycoAICNN,0.096079124,0.068,0.163658243
Kluyveromyces_lactis,Mock1,Qmin17,simNCBI,mycoAICNN,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin17,simNCBI,mycoAICNN,0.01369863,0.007,0.318181818
Kodamaea_ohmeri,Mock1,Qmin17,simNCBI,mycoAICNN,0.635406048,0.4675,0.991516437
Leptosphaeria_maculans,Mock1,Qmin17,simNCBI,mycoAICNN,0.262281076,0.4605,0.18335656
Penicillium_chrysogenum,Mock1,Qmin17,simNCBI,mycoAICNN,0.507184673,0.4765,0.542093288
Pichia_kudriavzevii,Mock1,Qmin17,simNCBI,mycoAICNN,0.191441238,0.529,0.116867337
Pichia_membranifaciens,Mock1,Qmin17,simNCBI,mycoAICNN,0.388944223,0.3905,0.387400794
Quambalaria_cyanescens,Mock1,Qmin17,simNCBI,mycoAICNN,0.007893439,0.004,0.296296296
Rhodotorula_mucilaginosa,Mock1,Qmin17,simNCBI,mycoAICNN,0.411515665,0.486,0.356828194
Scedosporium_aurantiacum,Mock1,Qmin17,simNCBI,mycoAICNN,0.075878594,0.0475,0.188492063
Trichomonascus_ciferrii,Mock1,Qmin17,simNCBI,mycoAICNN,0.418996093,0.3485,0.525244913
Trichosporon_asahii,Mock1,Qmin17,simNCBI,mycoAICNN,0.61443299,0.447,0.982417582
Tuber_brumale,Mock1,Qmin17,simNCBI,mycoAICNN,0.452246355,0.38,0.558412932
Wickerhamomyces_anomalus,Mock1,Qmin17,simNCBI,mycoAICNN,0.213821196,0.748,0.124739431
Yamadazyma_mexicana,Mock1,Qmin17,simNCBI,mycoAICNN,0.60615109,0.5075,0.752409192
Yamadazyma_scolyti,Mock1,Qmin17,simNCBI,mycoAICNN,0.662234043,0.498,0.988095238
Yarrowia_lipolytica,Mock1,Qmin17,simNCBI,mycoAICNN,0.231306778,0.4965,0.15077437
Zymoseptoria_tritici,Mock1,Qmin17,simNCBI,mycoAICNN,0.324180396,0.487,0.242953355
