Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,kraken2,0.990178796,0.983,0.997463217
Austropuccinia_psidii,Mock1,Qmin15,GSD,kraken2,0.986411676,0.98,0.992907801
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,kraken2,0.991739675,0.9905,0.992982456
Blastobotrys_proliferans,Mock1,Qmin15,GSD,kraken2,0.993981946,0.991,0.996981891
Botrytis_cinerea,Mock1,Qmin15,GSD,kraken2,nan,0,nan
Botrytis_fabae,Mock1,Qmin15,GSD,kraken2,0.969432314,0.9435,0.996830428
Candida_boleticola,Mock1,Qmin15,GSD,kraken2,0.984523215,0.986,0.983050847
Candida_caryicola,Mock1,Qmin15,GSD,kraken2,0.988679245,0.9825,0.994936709
Candida_catenulata,Mock1,Qmin15,GSD,kraken2,0.967898833,0.995,0.942234848
Candida_dubliniensis,Mock1,Qmin15,GSD,kraken2,0.979984799,0.967,0.993323061
Candida_glabrata,Mock1,Qmin15,GSD,kraken2,0.864487287,0.7735,0.979734009
Candida_metapsilosis,Mock1,Qmin15,GSD,kraken2,0.980667838,0.9765,0.984871407
Candida_parapsilosis,Mock1,Qmin15,GSD,kraken2,0.981046247,0.9705,0.991824221
Candida_tropicalis,Mock1,Qmin15,GSD,kraken2,0.988413098,0.981,0.995939086
Candida_zeylanoides,Mock1,Qmin15,GSD,kraken2,0.985478217,0.984,0.986960883
Cortinarius_globuliformis,Mock1,Qmin15,GSD,kraken2,0.856006816,0.7535,0.990795529
Cryptococcus_gattii_VGI,Mock1,Qmin15,GSD,kraken2,0.943059564,0.8985,0.992269464
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,GSD,kraken2,0.981993406,0.968,0.996397324
Cryptovalsa_ampelina,Mock1,Qmin15,GSD,kraken2,0.993470618,0.989,0.997981837
Diaporthe_sp._CCL067,Mock1,Qmin15,GSD,kraken2,0.990267033,0.992,0.98854011
Diplodia_seriata,Mock1,Qmin15,GSD,kraken2,0.992989484,0.9915,0.99448345
Entoleuca_sp._,Mock1,Qmin15,GSD,kraken2,0.990705853,0.986,0.99545684
Erysiphe_necator,Mock1,Qmin15,GSD,kraken2,0.941147132,0.9435,0.93880597
Eutypa_lata,Mock1,Qmin15,GSD,kraken2,0.991685563,0.984,0.999492128
Fusarium_proliferatum,Mock1,Qmin15,GSD,kraken2,0.978200952,0.976,0.980411853
Fusarium_pseudograminearum,Mock1,Qmin15,GSD,kraken2,0.980949962,0.9655,0.996902426
Geotrichum_candidum,Mock1,Qmin15,GSD,kraken2,0.993509735,0.995,0.992023928
Kluyveromyces_lactis,Mock1,Qmin15,GSD,kraken2,0.984166876,0.979,0.98938858
Kluyveromyces_marxianus,Mock1,Qmin15,GSD,kraken2,0.981150794,0.989,0.973425197
Kodamaea_ohmeri,Mock1,Qmin15,GSD,kraken2,0.985901309,0.979,0.992900609
Leptosphaeria_maculans,Mock1,Qmin15,GSD,kraken2,0.991482966,0.9895,0.993473896
Penicillium_chrysogenum,Mock1,Qmin15,GSD,kraken2,0.9560903,0.9635,0.948793698
Pichia_kudriavzevii,Mock1,Qmin15,GSD,kraken2,0.965176587,0.977,0.95363592
Pichia_membranifaciens,Mock1,Qmin15,GSD,kraken2,0.864113475,0.7615,0.998688525
Puccinia_graminis_,Mock1,Qmin15,GSD,kraken2,0.986336032,0.9745,0.998463115
Puccinia_striiformis_var_tritici,Mock1,Qmin15,GSD,kraken2,0.982251521,0.9685,0.996399177
Puccinia_triticina,Mock1,Qmin15,GSD,kraken2,0.982215447,0.9665,0.998450413
Pyrenophora_tritici-repentis,Mock1,Qmin15,GSD,kraken2,0.90797546,0.851,0.973127501
Quambalaria_cyanescens,Mock1,Qmin15,GSD,kraken2,0.977666248,0.974,0.981360202
Rhodotorula_mucilaginosa,Mock1,Qmin15,GSD,kraken2,0.994245684,0.9935,0.994992489
Scedosporium_aurantiacum,Mock1,Qmin15,GSD,kraken2,0.980172852,0.964,0.996897622
Scedosporium_boydii,Mock1,Qmin15,GSD,kraken2,0.980769231,0.969,0.992827869
Sclerotinia_sclerotiorum,Mock1,Qmin15,GSD,kraken2,0.982776089,0.97,0.995893224
Sporisorium_scitamineum,Mock1,Qmin15,GSD,kraken2,0.929267043,0.9065,0.95320715
Trichomonascus_ciferrii,Mock1,Qmin15,GSD,kraken2,0.983772819,0.97,0.997942387
Trichosporon_asahii,Mock1,Qmin15,GSD,kraken2,0.98111332,0.987,0.975296443
Tuber_brumale,Mock1,Qmin15,GSD,kraken2,0.990729141,0.9885,0.992968358
Wickerhamomyces_anomalus,Mock1,Qmin15,GSD,kraken2,0.989166037,0.9815,0.996952768
Yamadazyma_mexicana,Mock1,Qmin15,GSD,kraken2,0.99103139,0.9945,0.987586892
Yamadazyma_scolyti,Mock1,Qmin15,GSD,kraken2,0.996003996,0.997,0.99500998
Yarrowia_lipolytica,Mock1,Qmin15,GSD,kraken2,0.956668272,0.9935,0.922469824
Zymoseptoria_tritici,Mock1,Qmin15,GSD,kraken2,0.986740055,0.986,0.987481222
Aspergillus_flavus,Mock1,Qmin15,GSD,aodp,0.837606838,0.784,0.899082569
Aspergillus_fumigatus,Mock1,Qmin15,GSD,aodp,0.698309493,0.537,0.998141264
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,aodp,0.990682448,0.9835,0.997970573
Austropuccinia_psidii,Mock1,Qmin15,GSD,aodp,0.985390428,0.978,0.992893401
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,aodp,0.99047619,0.988,0.992964824
Blastobotrys_proliferans,Mock1,Qmin15,GSD,aodp,0.994231252,0.991,0.997483644
Botrytis_cinerea,Mock1,Qmin15,GSD,aodp,0.978639823,0.9965,0.961408587
Botrytis_fabae,Mock1,Qmin15,GSD,aodp,0.968685832,0.9435,0.995253165
Candida_boleticola,Mock1,Qmin15,GSD,aodp,0.989214949,0.986,0.992450931
Candida_caryicola,Mock1,Qmin15,GSD,aodp,0.992466097,0.988,0.996972755
Candida_catenulata,Mock1,Qmin15,GSD,aodp,0.993261792,0.995,0.991529646
Candida_dubliniensis,Mock1,Qmin15,GSD,aodp,0.979348097,0.984,0.97473997
Candida_glabrata,Mock1,Qmin15,GSD,aodp,0.845431255,0.7425,0.981493721
Candida_metapsilosis,Mock1,Qmin15,GSD,aodp,0.974926254,0.9915,0.958897485
Candida_parapsilosis,Mock1,Qmin15,GSD,aodp,0.981303689,0.971,0.991828396
Candida_tropicalis,Mock1,Qmin15,GSD,aodp,0.993231386,0.9905,0.995977878
Candida_zeylanoides,Mock1,Qmin15,GSD,aodp,0.985831469,0.9915,0.980227385
Cortinarius_globuliformis,Mock1,Qmin15,GSD,aodp,0.769041769,0.626,0.996815287
Cryptococcus_gattii_VGI,Mock1,Qmin15,GSD,aodp,0.941573617,0.9065,0.979470556
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,GSD,aodp,0.982251521,0.9685,0.996399177
Cryptovalsa_ampelina,Mock1,Qmin15,GSD,aodp,0.993975904,0.99,0.997983871
Diaporthe_sp._CCL067,Mock1,Qmin15,GSD,aodp,0.990518962,0.9925,0.988545817
Diplodia_seriata,Mock1,Qmin15,GSD,aodp,0.992989484,0.9915,0.99448345
Entoleuca_sp._,Mock1,Qmin15,GSD,aodp,0.990954774,0.986,0.995959596
Erysiphe_necator,Mock1,Qmin15,GSD,aodp,0.96938513,0.942,0.998410175
Eutypa_lata,Mock1,Qmin15,GSD,aodp,0.991685563,0.984,0.999492128
Fusarium_proliferatum,Mock1,Qmin15,GSD,aodp,0.988950276,0.9845,0.993440969
Fusarium_pseudograminearum,Mock1,Qmin15,GSD,aodp,0.98042207,0.964,0.997413347
Geotrichum_candidum,Mock1,Qmin15,GSD,aodp,0.994005994,0.995,0.993013972
Kluyveromyces_lactis,Mock1,Qmin15,GSD,aodp,0.984684911,0.9805,0.988905698
Kluyveromyces_marxianus,Mock1,Qmin15,GSD,aodp,0.9877714,0.9895,0.986048829
Kodamaea_ohmeri,Mock1,Qmin15,GSD,aodp,0.985901309,0.979,0.992900609
Leptosphaeria_maculans,Mock1,Qmin15,GSD,aodp,0.957446809,0.9225,0.995145631
Penicillium_chrysogenum,Mock1,Qmin15,GSD,aodp,0.956823821,0.964,0.949753695
Pichia_kudriavzevii,Mock1,Qmin15,GSD,aodp,0.966403162,0.978,0.955078125
Pichia_membranifaciens,Mock1,Qmin15,GSD,aodp,0.865155807,0.7635,0.998039216
Puccinia_graminis_,Mock1,Qmin15,GSD,aodp,0.98012916,0.9865,0.973840079
Puccinia_striiformis_var_tritici,Mock1,Qmin15,GSD,aodp,0.981027068,0.9695,0.992831541
Puccinia_triticina,Mock1,Qmin15,GSD,aodp,0.981439105,0.965,0.998448008
Pyrenophora_tritici-repentis,Mock1,Qmin15,GSD,aodp,0.90894526,0.851,0.975358166
Quambalaria_cyanescens,Mock1,Qmin15,GSD,aodp,0.984319676,0.973,0.995905834
Rhodotorula_mucilaginosa,Mock1,Qmin15,GSD,aodp,0.993993994,0.993,0.99498998
Scedosporium_aurantiacum,Mock1,Qmin15,GSD,aodp,0.977755308,0.967,0.988752556
Scedosporium_boydii,Mock1,Qmin15,GSD,aodp,0.981523665,0.9695,0.993849308
Sclerotinia_sclerotiorum,Mock1,Qmin15,GSD,aodp,0.981744422,0.968,0.995884774
Sporisorium_scitamineum,Mock1,Qmin15,GSD,aodp,0.921052632,0.8575,0.994779582
Trichomonascus_ciferrii,Mock1,Qmin15,GSD,aodp,0.984802432,0.972,0.997946612
Trichosporon_asahii,Mock1,Qmin15,GSD,aodp,0.992462312,0.9875,0.997474747
Tuber_brumale,Mock1,Qmin15,GSD,aodp,0.989463121,0.986,0.992950655
Wickerhamomyces_anomalus,Mock1,Qmin15,GSD,aodp,0.988667842,0.9815,0.995941147
Yamadazyma_mexicana,Mock1,Qmin15,GSD,aodp,0.993010484,0.9945,0.991525424
Yamadazyma_scolyti,Mock1,Qmin15,GSD,aodp,0.997250687,0.9975,0.997001499
Yarrowia_lipolytica,Mock1,Qmin15,GSD,aodp,0.958976834,0.9935,0.926772388
Zymoseptoria_tritici,Mock1,Qmin15,GSD,aodp,0.992201258,0.986,0.998481013
Aspergillus_flavus,Mock1,Qmin15,GSD,dnabarcoder,0.768355995,0.777,0.7599022
