Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Pichia_kudriavzevii,Mock1,Qmin15,NCBI,kraken2,0.954077792,0.9505,0.95768262
Pichia_membranifaciens,Mock1,Qmin15,NCBI,kraken2,0.82040696,0.6955,1
Quambalaria_cyanescens,Mock1,Qmin15,NCBI,kraken2,0.879753915,0.7865,0.998096447
Rhodotorula_mucilaginosa,Mock1,Qmin15,NCBI,kraken2,0,0,0
Scedosporium_aurantiacum,Mock1,Qmin15,NCBI,kraken2,0.951557999,0.9085,0.998900495
Trichomonascus_ciferrii,Mock1,Qmin15,NCBI,kraken2,0.830023364,0.7105,0.997893258
Trichosporon_asahii,Mock1,Qmin15,NCBI,kraken2,0.942201108,0.8925,0.997764114
Tuber_brumale,Mock1,Qmin15,NCBI,kraken2,0.842651297,0.731,0.994557823
Wickerhamomyces_anomalus,Mock1,Qmin15,NCBI,kraken2,0.962771458,0.931,0.996788009
Yamadazyma_mexicana,Mock1,Qmin15,NCBI,kraken2,0.979674797,0.964,0.995867769
Yamadazyma_scolyti,Mock1,Qmin15,NCBI,kraken2,0.984802432,0.972,0.997946612
Yarrowia_lipolytica,Mock1,Qmin15,NCBI,kraken2,0.949227373,0.9675,0.931632162
Zymoseptoria_tritici,Mock1,Qmin15,NCBI,kraken2,0.978310794,0.9585,0.998957791
Aspergillus_flavus,Mock1,Qmin15,NCBI,dnabarcoder,0.040176384,0.0205,1
Aspergillus_fumigatus,Mock1,Qmin15,NCBI,dnabarcoder,0.036327933,0.0185,1
Blastobotrys_adeninivorans,Mock1,Qmin15,NCBI,dnabarcoder,0.968998207,0.9455,0.993694167
Blastobotrys_proliferans,Mock1,Qmin15,NCBI,dnabarcoder,0.975721952,0.9545,0.997909043
Candida_boleticola,Mock1,Qmin15,NCBI,dnabarcoder,0.933368728,0.879,0.994906621
Candida_caryicola,Mock1,Qmin15,NCBI,dnabarcoder,0.962156558,0.928,0.998923574
Candida_catenulata,Mock1,Qmin15,NCBI,dnabarcoder,0.973152646,0.9515,0.99581371
Candida_dubliniensis,Mock1,Qmin15,NCBI,dnabarcoder,0.963824289,0.9325,0.997326203
Candida_glabrata,Mock1,Qmin15,NCBI,dnabarcoder,0.823220537,0.7055,0.988095238
Candida_metapsilosis,Mock1,Qmin15,NCBI,dnabarcoder,0.007956241,0.004,0.727272727
Candida_parapsilosis,Mock1,Qmin15,NCBI,dnabarcoder,0.967394095,0.942,0.994195251
Candida_tropicalis,Mock1,Qmin15,NCBI,dnabarcoder,0.964894166,0.9345,0.99733191
Candida_zeylanoides,Mock1,Qmin15,NCBI,dnabarcoder,0.97544757,0.9535,0.998429319
Cryptococcus_gattii_VGI,Mock1,Qmin15,NCBI,dnabarcoder,0.476082005,0.3135,0.988958991
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,NCBI,dnabarcoder,0.859087043,0.7575,0.992141454
Diplodia_seriata,Mock1,Qmin15,NCBI,dnabarcoder,0.92088267,0.8555,0.997086247
Fusarium_pseudograminearum,Mock1,Qmin15,NCBI,dnabarcoder,0.966993296,0.9375,0.998402556
Kluyveromyces_lactis,Mock1,Qmin15,NCBI,dnabarcoder,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin15,NCBI,dnabarcoder,0.963096774,0.933,0.9952
Kodamaea_ohmeri,Mock1,Qmin15,NCBI,dnabarcoder,0.969479354,0.945,0.995260664
Leptosphaeria_maculans,Mock1,Qmin15,NCBI,dnabarcoder,0.973677485,0.9525,0.995818087
Penicillium_chrysogenum,Mock1,Qmin15,NCBI,dnabarcoder,0,0,0
Pichia_kudriavzevii,Mock1,Qmin15,NCBI,dnabarcoder,0.950629723,0.9435,0.95786802
