MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Diplodia_seriata,Mock3,Qmin15,mycoAI_bert,simNCBI,0.420646819,0.342637823,0.544647809
Fusarium_pseudograminearum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.024823695,0.019837692,0.033157498
Kluyveromyces_lactis,Mock3,Qmin15,mycoAI_bert,simNCBI,0.003746488,0.002152853,0.014423077
Kluyveromyces_marxianus,Mock3,Qmin15,mycoAI_bert,simNCBI,0.004491018,0.002392344,0.036585366
Kodamaea_ohmeri,Mock3,Qmin15,mycoAI_bert,simNCBI,0.217033632,0.322082585,0.163656267
Leptosphaeria_maculans,Mock3,Qmin15,mycoAI_bert,simNCBI,0.036247335,0.023176551,0.083129584
Penicillium_chrysogenum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.233812155,0.232425308,0.235215651
Pichia_kudriavzevii,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Pichia_membranifaciens,Mock3,Qmin15,mycoAI_bert,simNCBI,0.009451109,0.004779412,0.419354839
Quambalaria_cyanescens,Mock3,Qmin15,mycoAI_bert,simNCBI,0.523031204,0.371621622,0.882647944
Rhodotorula_mucilaginosa,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.021895527,0.027301092,0.018276762
Trichomonascus_ciferrii,Mock3,Qmin15,mycoAI_bert,simNCBI,0.006741573,0.006179197,0.007416564
Trichosporon_asahii,Mock3,Qmin15,mycoAI_bert,simNCBI,0.31120332,0.185002467,0.979112272
Tuber_brumale,Mock3,Qmin15,mycoAI_bert,simNCBI,0.024390244,0.013948082,0.09703504
Wickerhamomyces_anomalus,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Yamadazyma_mexicana,Mock3,Qmin15,mycoAI_bert,simNCBI,0.08688447,0.483849703,0.047727421
Yamadazyma_scolyti,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Yarrowia_lipolytica,Mock3,Qmin15,mycoAI_bert,simNCBI,0.012683314,0.012048193,0.013389121
Zymoseptoria_tritici,Mock3,Qmin15,mycoAI_bert,simNCBI,0.007250129,0.004530744,0.018134715
Aspergillus_flavus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.540671513,0.377477042,0.952439024
Aspergillus_fumigatus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.018481848,0.009402283,0.538461538
Blastobotrys_adeninivorans,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.064705882,0.033570702,0.891891892
Blastobotrys_proliferans,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.386298215,0.493019838,0.317557974
Candida_boleticola,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.366084788,0.484808454,0.294070513
Candida_caryicola,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.262939002,0.468312757,0.182781882
Candida_catenulata,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.388888889,0.482404692,0.325742574
Candida_dubliniensis,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.001097093,0.000550661,0.142857143
Candida_glabrata,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.466485858,0.305428716,0.986885246
Candida_metapsilosis,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.015873016,0.008264463,0.2
Candida_parapsilosis,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.594557354,0.45637229,0.852766798
Candida_tropicalis,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.361031519,0.225,0.913043478
Candida_zeylanoides,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.023157895,0.01187905,0.458333333
Cryptococcus_gattii_VGI,Mock3,Qmin15,mycoAI_cnn,simNCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.1028518,0.063001145,0.279898219
Diplodia_seriata,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.616273694,0.465108165,0.913013699
Fusarium_pseudograminearum,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.090997725,0.063119928,0.16298021
Kluyveromyces_lactis,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.00050025,0.000358809,0.000825764
Kluyveromyces_marxianus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.013296832,0.006778309,0.346938776
Kodamaea_ohmeri,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.633967789,0.466427289,0.989337395
Leptosphaeria_maculans,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.343483871,0.453646898,0.276370432
Penicillium_chrysogenum,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.521470937,0.482864675,0.566787004
Pichia_kudriavzevii,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.238594061,0.508674788,0.155847093
Pichia_membranifaciens,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.382325753,0.380147059,0.384529565
Quambalaria_cyanescens,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.012463648,0.006334459,0.384615385
Rhodotorula_mucilaginosa,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.427236315,0.496637351,0.374853573
Scedosporium_aurantiacum,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.084257206,0.059282371,0.14559387
Trichomonascus_ciferrii,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.421178582,0.362512873,0.502498216
Trichosporon_asahii,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.617042775,0.451899359,0.972399151
Tuber_brumale,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.455807159,0.362650136,0.613368283
Wickerhamomyces_anomalus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.160406091,0.739469579,0.089960144
Yamadazyma_mexicana,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.542814594,0.480553724,0.623609923
Yamadazyma_scolyti,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.644126571,0.484670581,0.95994832
Yarrowia_lipolytica,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.171772575,0.483433735,0.104441191
Zymoseptoria_tritici,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.258731773,0.493851133,0.175281415
Aspergillus_flavus,Mock3,Qmin17,vuthuyduong,simNCBI,0.474625776,0.314161431,0.970149254
Aspergillus_fumigatus,Mock3,Qmin17,vuthuyduong,simNCBI,0.012708499,0.010745467,0.015549077
Blastobotrys_adeninivorans,Mock3,Qmin17,vuthuyduong,simNCBI,0.643813848,0.480840963,0.973901099
Blastobotrys_proliferans,Mock3,Qmin17,vuthuyduong,simNCBI,0.632093933,0.474650992,0.945827233
Candida_boleticola,Mock3,Qmin17,vuthuyduong,simNCBI,0.334437086,0.466974901,0.260501105
Candida_caryicola,Mock3,Qmin17,vuthuyduong,simNCBI,0.176365118,0.44526749,0.10995935
Candida_catenulata,Mock3,Qmin17,vuthuyduong,simNCBI,0.610744581,0.475073314,0.854881266
Candida_dubliniensis,Mock3,Qmin17,vuthuyduong,simNCBI,0.144756278,0.080947137,0.68372093
Candida_glabrata,Mock3,Qmin17,vuthuyduong,simNCBI,0.238465975,0.419583968,0.166565962
Candida_metapsilosis,Mock3,Qmin17,vuthuyduong,simNCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,vuthuyduong,simNCBI,0.516776599,0.476467478,0.564536341
Candida_tropicalis,Mock3,Qmin17,vuthuyduong,simNCBI,0.15728927,0.447619048,0.095407257
Candida_zeylanoides,Mock3,Qmin17,vuthuyduong,simNCBI,0.504056247,0.503239741,0.504875406
Cryptococcus_gattii_VGI,Mock3,Qmin17,vuthuyduong,simNCBI,0.252374491,0.160344828,0.592356688
Cryptococcus_neoformans_VNIII,Mock3,Qmin17,vuthuyduong,simNCBI,0.289278752,0.212485682,0.452991453
Diplodia_seriata,Mock3,Qmin17,vuthuyduong,simNCBI,0.483516484,0.483600837,0.483432159
Fusarium_pseudograminearum,Mock3,Qmin17,vuthuyduong,simNCBI,0.467586207,0.305680794,0.994134897
Kluyveromyces_lactis,Mock3,Qmin17,vuthuyduong,simNCBI,0.049047225,0.053103696,0.045566502
Kluyveromyces_marxianus,Mock3,Qmin17,vuthuyduong,simNCBI,0.008695652,0.004385965,0.5
Kodamaea_ohmeri,Mock3,Qmin17,vuthuyduong,simNCBI,0.601946357,0.45529623,0.887955182
Leptosphaeria_maculans,Mock3,Qmin17,vuthuyduong,simNCBI,0.494311495,0.429447853,0.582255083
Penicillium_chrysogenum,Mock3,Qmin17,vuthuyduong,simNCBI,0.552114193,0.450351494,0.71329158
Pichia_kudriavzevii,Mock3,Qmin17,vuthuyduong,simNCBI,0.642163662,0.512735327,0.858998145
Pichia_membranifaciens,Mock3,Qmin17,vuthuyduong,simNCBI,0.41012441,0.351470588,0.492276004
Quambalaria_cyanescens,Mock3,Qmin17,vuthuyduong,simNCBI,0.620391705,0.454814189,0.975543478
Rhodotorula_mucilaginosa,Mock3,Qmin17,vuthuyduong,simNCBI,0.419334049,0.50491464,0.358559882
Scedosporium_aurantiacum,Mock3,Qmin17,vuthuyduong,simNCBI,0.608299595,0.468798752,0.865994236
Trichomonascus_ciferrii,Mock3,Qmin17,vuthuyduong,simNCBI,0.603367968,0.433573635,0.991755006
