MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Fusarium_pseudograminearum,Mock3,Qmin15,kraken2,NCBI_NoCd,0.966961377,0.936880072,0.999038462
Kluyveromyces_lactis,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,kraken2,NCBI_NoCd,0.976451482,0.958931419,0.994623656
Kodamaea_ohmeri,Mock3,Qmin15,kraken2,NCBI_NoCd,0.972038263,0.948653501,0.996605055
Leptosphaeria_maculans,Mock3,Qmin15,kraken2,NCBI_NoCd,0.970196353,0.943081118,0.998916968
Penicillium_chrysogenum,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin15,kraken2,NCBI_NoCd,0.966889881,0.959394611,0.974503187
Pichia_membranifaciens,Mock3,Qmin15,kraken2,NCBI_NoCd,0.810397554,0.681985294,0.998385361
Quambalaria_cyanescens,Mock3,Qmin15,kraken2,NCBI_NoCd,0.889304938,0.802364865,0.997375328
Rhodotorula_mucilaginosa,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin15,kraken2,NCBI_NoCd,0.948445172,0.904056162,0.997418244
Trichomonascus_ciferrii,Mock3,Qmin15,kraken2,NCBI_NoCd,0.391052196,0.243048404,1
Trichosporon_asahii,Mock3,Qmin15,kraken2,NCBI_NoCd,0.936649215,0.882585101,0.997769102
Tuber_brumale,Mock3,Qmin15,kraken2,NCBI_NoCd,0.846119536,0.734986439,0.996847084
Wickerhamomyces_anomalus,Mock3,Qmin15,kraken2,NCBI_NoCd,0.973253493,0.950858034,0.996729354
Yamadazyma_mexicana,Mock3,Qmin15,kraken2,NCBI_NoCd,0.875647668,0.779828609,0.998312236
Yamadazyma_scolyti,Mock3,Qmin15,kraken2,NCBI_NoCd,0.983454666,0.969341161,0.997985225
Yarrowia_lipolytica,Mock3,Qmin15,kraken2,NCBI_NoCd,0.935283364,0.96310241,0.909026297
Zymoseptoria_tritici,Mock3,Qmin15,kraken2,NCBI_NoCd,0.979201056,0.95987055,0.999326146
Aspergillus_flavus,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.047192072,0.024166264,1
Aspergillus_fumigatus,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.033025099,0.016789792,1
Blastobotrys_adeninivorans,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.971696475,0.948796202,0.995729537
Blastobotrys_proliferans,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.976813762,0.959588538,0.994668698
Candida_boleticola,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.921436189,0.856010568,0.997690531
Candida_caryicola,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.958493795,0.9218107,0.998217469
Candida_catenulata,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.973782772,0.953079179,0.995405819
Candida_dubliniensis,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.828765105,0.71334348,0.988748242
Candida_metapsilosis,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.967355822,0.940243258,0.996078431
Candida_tropicalis,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.965094917,0.938095238,0.99369483
Candida_zeylanoides,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.97249725,0.954643629,0.99103139
Cryptococcus_gattii_VGI,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.47130968,0.309195402,0.990791897
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.859359845,0.761168385,0.986636971
Diplodia_seriata,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.933035714,0.87508723,0.999203187
Fusarium_pseudograminearum,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.965517241,0.934174932,0.99903568
Kluyveromyces_lactis,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.969548334,0.945773525,0.994549266
Kodamaea_ohmeri,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.972227331,0.949012567,0.996606335
Leptosphaeria_maculans,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.972538044,0.947511929,0.998922027
Penicillium_chrysogenum,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0,0,0
Pichia_kudriavzevii,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.962034786,0.949427833,0.974981046
Pichia_membranifaciens,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.796198055,0.662132353,0.998337029
Quambalaria_cyanescens,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.900625434,0.820945946,0.997434582
Rhodotorula_mucilaginosa,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.868651489,0.769787894,0.996651038
Scedosporium_aurantiacum,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.941903585,0.891575663,0.998253275
Trichomonascus_ciferrii,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.100733496,0.053038105,1
Trichosporon_asahii,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.939979123,0.88850518,0.997783934
Tuber_brumale,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.838086683,0.722975591,0.996794872
Wickerhamomyces_anomalus,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.962873285,0.930577223,0.997491639
Yamadazyma_mexicana,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.976759852,0.955833883,0.99862259
Yamadazyma_scolyti,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.977703827,0.958251794,0.997961957
Yarrowia_lipolytica,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0,0,0
Zymoseptoria_tritici,Mock3,Qmin15,dnabarcoder,NCBI_NoCd,0.962764173,0.928802589,0.999303621
Aspergillus_flavus,Mock3,Qmin15,emu,NCBI_NoCd,0,0,0
Aspergillus_fumigatus,Mock3,Qmin15,emu,NCBI_NoCd,0.042197514,0.021553509,1
Blastobotrys_adeninivorans,Mock3,Qmin15,emu,NCBI_NoCd,0.95191508,0.90824232,1
Blastobotrys_proliferans,Mock3,Qmin15,emu,NCBI_NoCd,0.975523137,0.952215879,1
Candida_boleticola,Mock3,Qmin15,emu,NCBI_NoCd,0.983551527,0.967635403,1
