species,correctly mapped,mapped to this species
Aspergillus_flavus,172,312
Aspergillus_fumigatus,302,302
Asteroma_sp_CCL060,391,392
Austropuccinia_psidii,373,376
Blastobotrys_adeninivorans,259,261
Blastobotrys_proliferans,217,218
Botrytis_cinerea,0,0
Botrytis_fabae,204,207
Candida_boleticola,215,219
Candida_caryicola,215,216
Candida_catenulata,225,259
Candida_dubliniensis,208,211
Candida_glabrata,433,441
Candida_metapsilosis,391,396
Candida_parapsilosis,616,618
Candida_tropicalis,446,448
Candida_zeylanoides,293,301
Cortinarius_globuliformis_CM4,162,166
Cryptococcus_gattii_VG_I,509,510
Cryptococcus_neoformans_VN_IIII,530,531
Cryptovalsa_ampelina,388,388
Diaporthe_sp_CCL067,659,661
Diplodia_seriata,746,746
Entoleuca_sp_CCL052,683,684
Erysiphe_necator,598,607
Eutypa_lata,235,236
Fusarium_proliferatum,502,515
Fusarium_pseudograminearum,455,456
Geotrichum_candidum,482,483
Kluyveromyces_lactis,347,352
Kluyveromyces_marxianus,294,303
Kodamaea_ohmeri,275,278
Leptosphaeria_maculans,386,389
Penicillium_chrysogenum,305,326
Pichia_kudriavzevii,213,233
Pichia_membranifaciens,635,635
Puccinia_graminis,685,687
Puccinia_striiformis_var_tritici,236,236
Puccinia_triticina,299,299
Pyrenophora_tritici-repentis,379,396
Quambalaria_cyanescens_CCL055,305,315
Rhodotorula_mucilaginosa,622,624
Scedosporium_aurantiacum,212,213
Scedosporium_boydii,268,269
Sclerotinia_sclerotiorum,718,720
Sporisorium_scitamineum,250,261
Trichomonascus_ciferrii,250,252
Trichosporon_asahii,527,538
Tuber_brumale,409,410
Wickerhamomyces_anomalus,337,340
Yamadazyma_mexicana,418,423
Yamadazyma_scolyti,354,357
Yarrowia_lipolytica,352,388
Zymoseptoria_tritici,216,219
