species,correctly mapped,mapped to this species
Aspergillus_flavus,155,299
Aspergillus_fumigatus,275,275
Asteroma_sp_CCL060,387,388
Austropuccinia_psidii,368,371
Blastobotrys_adeninivorans,259,260
Blastobotrys_proliferans,216,220
Botrytis_cinerea,0,0
Botrytis_fabae,203,205
Candida_boleticola,215,222
Candida_caryicola,215,219
Candida_catenulata,225,263
Candida_dubliniensis,209,216
Candida_glabrata,426,431
Candida_metapsilosis,385,390
Candida_parapsilosis,622,625
Candida_tropicalis,449,451
Candida_zeylanoides,296,305
Cortinarius_globuliformis_CM4,180,186
Cryptococcus_gattii_VG_I,511,512
Cryptococcus_neoformans_VN_IIII,532,534
Cryptovalsa_ampelina,386,386
Diaporthe_sp_CCL067,653,656
Diplodia_seriata,745,747
Entoleuca_sp_CCL052,680,681
Erysiphe_necator,596,614
Eutypa_lata,239,242
Fusarium_proliferatum,494,506
Fusarium_pseudograminearum,456,457
Geotrichum_candidum,483,487
Kluyveromyces_lactis,344,349
Kluyveromyces_marxianus,292,304
Kodamaea_ohmeri,277,279
Leptosphaeria_maculans,389,392
Penicillium_chrysogenum,304,329
Pichia_kudriavzevii,214,229
Pichia_membranifaciens,663,664
Puccinia_graminis,688,688
Puccinia_striiformis_var_tritici,239,241
Puccinia_triticina,305,306
Pyrenophora_tritici-repentis,378,396
Quambalaria_cyanescens_CCL055,301,307
Rhodotorula_mucilaginosa,625,629
Scedosporium_aurantiacum,207,208
Scedosporium_boydii,270,270
Sclerotinia_sclerotiorum,719,719
Sporisorium_scitamineum,238,250
Trichomonascus_ciferrii,257,258
Trichosporon_asahii,524,540
Tuber_brumale,408,408
Wickerhamomyces_anomalus,342,343
Yamadazyma_mexicana,416,424
Yamadazyma_scolyti,355,357
Yarrowia_lipolytica,353,403
Zymoseptoria_tritici,214,217
