species,correctly mapped,mapped to this species
Aspergillus_flavus,155,280
Aspergillus_fumigatus,281,282
Asteroma_sp_CCL060,383,383
Austropuccinia_psidii,369,369
Blastobotrys_adeninivorans,258,260
Blastobotrys_proliferans,217,220
Botrytis_cinerea,0,0
Botrytis_fabae,208,210
Candida_boleticola,210,215
Candida_caryicola,212,213
Candida_catenulata,226,270
Candida_dubliniensis,209,210
Candida_glabrata,424,428
Candida_metapsilosis,387,393
Candida_parapsilosis,620,624
Candida_tropicalis,442,445
Candida_zeylanoides,297,306
Cortinarius_globuliformis_CM4,173,177
Cryptococcus_gattii_VG_I,510,511
Cryptococcus_neoformans_VN_IIII,528,529
Cryptovalsa_ampelina,387,387
Diaporthe_sp_CCL067,658,661
Diplodia_seriata,744,748
Entoleuca_sp_CCL052,677,679
Erysiphe_necator,585,600
Eutypa_lata,235,236
Fusarium_proliferatum,499,518
Fusarium_pseudograminearum,455,455
Geotrichum_candidum,484,487
Kluyveromyces_lactis,343,351
Kluyveromyces_marxianus,295,312
Kodamaea_ohmeri,278,282
Leptosphaeria_maculans,392,392
Penicillium_chrysogenum,310,335
Pichia_kudriavzevii,214,237
Pichia_membranifaciens,652,656
Puccinia_graminis,687,689
Puccinia_striiformis_var_tritici,234,237
Puccinia_triticina,306,306
Pyrenophora_tritici-repentis,374,393
Quambalaria_cyanescens_CCL055,306,311
Rhodotorula_mucilaginosa,625,631
Scedosporium_aurantiacum,209,210
Scedosporium_boydii,269,270
Sclerotinia_sclerotiorum,724,725
Sporisorium_scitamineum,241,256
Trichomonascus_ciferrii,247,250
Trichosporon_asahii,527,539
Tuber_brumale,407,410
Wickerhamomyces_anomalus,335,337
Yamadazyma_mexicana,415,420
Yamadazyma_scolyti,357,358
Yarrowia_lipolytica,354,393
Zymoseptoria_tritici,214,220
