species,correctly mapped,mapped to this species
Aspergillus_flavus,169,282
Aspergillus_fumigatus,310,311
Asteroma_sp_CCL060,382,383
Austropuccinia_psidii,372,377
Blastobotrys_adeninivorans,257,264
Blastobotrys_proliferans,216,218
Botrytis_cinerea,0,0
Botrytis_fabae,201,202
Candida_boleticola,215,219
Candida_caryicola,210,213
Candida_catenulata,225,258
Candida_dubliniensis,214,216
Candida_glabrata,434,438
Candida_metapsilosis,382,385
Candida_parapsilosis,612,616
Candida_tropicalis,443,447
Candida_zeylanoides,294,310
Cortinarius_globuliformis_CM4,169,172
Cryptococcus_gattii_VG_I,509,509
Cryptococcus_neoformans_VN_IIII,515,517
Cryptovalsa_ampelina,381,381
Diaporthe_sp_CCL067,655,658
Diplodia_seriata,742,742
Entoleuca_sp_CCL052,680,681
Erysiphe_necator,594,615
Eutypa_lata,236,238
Fusarium_proliferatum,496,508
Fusarium_pseudograminearum,447,448
Geotrichum_candidum,481,484
Kluyveromyces_lactis,343,346
Kluyveromyces_marxianus,292,307
Kodamaea_ohmeri,271,274
Leptosphaeria_maculans,385,387
Penicillium_chrysogenum,300,327
Pichia_kudriavzevii,215,233
Pichia_membranifaciens,655,656
Puccinia_graminis,684,686
Puccinia_striiformis_var_tritici,234,238
Puccinia_triticina,303,304
Pyrenophora_tritici-repentis,387,400
Quambalaria_cyanescens_CCL055,308,318
Rhodotorula_mucilaginosa,622,626
Scedosporium_aurantiacum,200,203
Scedosporium_boydii,267,268
Sclerotinia_sclerotiorum,722,722
Sporisorium_scitamineum,239,249
Trichomonascus_ciferrii,252,252
Trichosporon_asahii,524,535
Tuber_brumale,404,407
Wickerhamomyces_anomalus,341,342
Yamadazyma_mexicana,412,414
Yamadazyma_scolyti,357,357
Yarrowia_lipolytica,348,390
Zymoseptoria_tritici,216,219
