species,correctly mapped,mapped to this species
Aspergillus_flavus,167,299
Aspergillus_fumigatus,277,277
Asteroma_sp_CCL060,385,385
Austropuccinia_psidii,373,375
Blastobotrys_adeninivorans,261,263
Blastobotrys_proliferans,217,219
Botrytis_cinerea,0,0
Botrytis_fabae,199,199
Candida_boleticola,216,217
Candida_caryicola,216,218
Candida_catenulata,225,253
Candida_dubliniensis,216,218
Candida_glabrata,447,450
Candida_metapsilosis,386,393
Candida_parapsilosis,618,621
Candida_tropicalis,446,446
Candida_zeylanoides,295,303
Cortinarius_globuliformis_CM4,172,174
Cryptococcus_gattii_VG_I,501,501
Cryptococcus_neoformans_VN_IIII,518,522
Cryptovalsa_ampelina,387,388
Diaporthe_sp_CCL067,657,660
Diplodia_seriata,745,746
Entoleuca_sp_CCL052,673,673
Erysiphe_necator,600,616
Eutypa_lata,238,238
Fusarium_proliferatum,498,508
Fusarium_pseudograminearum,454,454
Geotrichum_candidum,484,490
Kluyveromyces_lactis,345,349
Kluyveromyces_marxianus,296,321
Kodamaea_ohmeri,278,281
Leptosphaeria_maculans,387,389
Penicillium_chrysogenum,304,331
Pichia_kudriavzevii,212,238
Pichia_membranifaciens,649,651
Puccinia_graminis,686,687
Puccinia_striiformis_var_tritici,232,233
Puccinia_triticina,307,307
Pyrenophora_tritici-repentis,370,382
Quambalaria_cyanescens_CCL055,301,303
Rhodotorula_mucilaginosa,624,630
Scedosporium_aurantiacum,208,208
Scedosporium_boydii,267,270
Sclerotinia_sclerotiorum,714,715
Sporisorium_scitamineum,242,253
Trichomonascus_ciferrii,251,252
Trichosporon_asahii,524,534
Tuber_brumale,408,409
Wickerhamomyces_anomalus,343,344
Yamadazyma_mexicana,417,420
Yamadazyma_scolyti,354,356
Yarrowia_lipolytica,352,391
Zymoseptoria_tritici,217,222
