species,correctly mapped,mapped to this species
Aspergillus_flavus,167,312
Aspergillus_fumigatus,277,280
Asteroma_sp_CCL060,385,385
Austropuccinia_psidii,374,378
Blastobotrys_adeninivorans,256,259
Blastobotrys_proliferans,218,220
Botrytis_cinerea,0,0
Botrytis_fabae,209,210
Candida_boleticola,212,214
Candida_caryicola,210,213
Candida_catenulata,225,252
Candida_dubliniensis,210,214
Candida_glabrata,430,440
Candida_metapsilosis,391,399
Candida_parapsilosis,624,626
Candida_tropicalis,441,443
Candida_zeylanoides,296,299
Cortinarius_globuliformis_CM4,170,176
Cryptococcus_gattii_VG_I,499,499
Cryptococcus_neoformans_VN_IIII,523,528
Cryptovalsa_ampelina,385,385
Diaporthe_sp_CCL067,657,659
Diplodia_seriata,745,746
Entoleuca_sp_CCL052,675,675
Erysiphe_necator,599,616
Eutypa_lata,238,240
Fusarium_proliferatum,495,504
Fusarium_pseudograminearum,457,457
Geotrichum_candidum,483,487
Kluyveromyces_lactis,345,351
Kluyveromyces_marxianus,294,306
Kodamaea_ohmeri,273,276
Leptosphaeria_maculans,385,386
Penicillium_chrysogenum,304,318
Pichia_kudriavzevii,212,239
Pichia_membranifaciens,662,663
Puccinia_graminis,671,673
Puccinia_striiformis_var_tritici,234,236
Puccinia_triticina,303,304
Pyrenophora_tritici-repentis,403,415
Quambalaria_cyanescens_CCL055,303,309
Rhodotorula_mucilaginosa,623,627
Scedosporium_aurantiacum,207,209
Scedosporium_boydii,269,270
Sclerotinia_sclerotiorum,717,721
Sporisorium_scitamineum,237,243
Trichomonascus_ciferrii,255,256
Trichosporon_asahii,518,527
Tuber_brumale,407,408
Wickerhamomyces_anomalus,338,342
Yamadazyma_mexicana,416,423
Yamadazyma_scolyti,356,357
Yarrowia_lipolytica,351,396
Zymoseptoria_tritici,218,225
