species,correctly mapped,mapped to this species
Aspergillus_flavus,169,314
Aspergillus_fumigatus,276,279
Asteroma_sp_CCL060,387,387
Austropuccinia_psidii,374,375
Blastobotrys_adeninivorans,258,263
Blastobotrys_proliferans,217,218
Botrytis_cinerea,0,0
Botrytis_fabae,196,196
Candida_boleticola,214,220
Candida_caryicola,215,219
Candida_catenulata,224,252
Candida_dubliniensis,212,214
Candida_glabrata,450,455
Candida_metapsilosis,383,387
Candida_parapsilosis,622,622
Candida_tropicalis,449,449
Candida_zeylanoides,294,304
Cortinarius_globuliformis_CM4,158,162
Cryptococcus_gattii_VG_I,510,515
Cryptococcus_neoformans_VN_IIII,527,531
Cryptovalsa_ampelina,386,389
Diaporthe_sp_CCL067,660,663
Diplodia_seriata,742,744
Entoleuca_sp_CCL052,678,678
Erysiphe_necator,594,606
Eutypa_lata,237,239
Fusarium_proliferatum,501,516
Fusarium_pseudograminearum,454,455
Geotrichum_candidum,484,491
Kluyveromyces_lactis,342,345
Kluyveromyces_marxianus,297,309
Kodamaea_ohmeri,277,281
Leptosphaeria_maculans,387,387
Penicillium_chrysogenum,309,333
Pichia_kudriavzevii,214,234
Pichia_membranifaciens,639,639
Puccinia_graminis,686,687
Puccinia_striiformis_var_tritici,231,231
Puccinia_triticina,303,304
Pyrenophora_tritici-repentis,390,405
Quambalaria_cyanescens_CCL055,303,311
Rhodotorula_mucilaginosa,622,627
Scedosporium_aurantiacum,207,209
Scedosporium_boydii,270,273
Sclerotinia_sclerotiorum,718,719
Sporisorium_scitamineum,240,250
Trichomonascus_ciferrii,255,257
Trichosporon_asahii,526,533
Tuber_brumale,405,408
Wickerhamomyces_anomalus,337,340
Yamadazyma_mexicana,416,422
Yamadazyma_scolyti,356,357
Yarrowia_lipolytica,352,386
Zymoseptoria_tritici,215,219
