species,correctly mapped,mapped to this species
Aspergillus_flavus,175,308
Aspergillus_fumigatus,291,291
Asteroma_sp_CCL060,383,383
Austropuccinia_psidii,373,379
Blastobotrys_adeninivorans,260,266
Blastobotrys_proliferans,218,221
Botrytis_cinerea,0,0
Botrytis_fabae,207,208
Candida_boleticola,216,222
Candida_caryicola,217,218
Candida_catenulata,226,260
Candida_dubliniensis,215,216
Candida_glabrata,442,444
Candida_metapsilosis,390,397
Candida_parapsilosis,616,618
Candida_tropicalis,451,453
Candida_zeylanoides,292,300
Cortinarius_globuliformis_CM4,178,183
Cryptococcus_gattii_VG_I,504,506
Cryptococcus_neoformans_VN_IIII,528,529
Cryptovalsa_ampelina,382,382
Diaporthe_sp_CCL067,654,654
Diplodia_seriata,750,753
Entoleuca_sp_CCL052,675,677
Erysiphe_necator,590,605
Eutypa_lata,237,238
Fusarium_proliferatum,496,509
Fusarium_pseudograminearum,450,452
Geotrichum_candidum,482,484
Kluyveromyces_lactis,341,345
Kluyveromyces_marxianus,296,312
Kodamaea_ohmeri,276,278
Leptosphaeria_maculans,386,389
Penicillium_chrysogenum,300,324
Pichia_kudriavzevii,212,232
Pichia_membranifaciens,664,665
Puccinia_graminis,686,688
Puccinia_striiformis_var_tritici,234,235
Puccinia_triticina,302,303
Pyrenophora_tritici-repentis,384,401
Quambalaria_cyanescens_CCL055,299,307
Rhodotorula_mucilaginosa,622,624
Scedosporium_aurantiacum,203,206
Scedosporium_boydii,265,269
Sclerotinia_sclerotiorum,718,719
Sporisorium_scitamineum,243,252
Trichomonascus_ciferrii,253,256
Trichosporon_asahii,528,538
Tuber_brumale,407,411
Wickerhamomyces_anomalus,342,343
Yamadazyma_mexicana,419,420
Yamadazyma_scolyti,355,355
Yarrowia_lipolytica,350,385
Zymoseptoria_tritici,217,224
